region_id,region_name,date,latitude,longitude,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_14d,humidity_avg_3d,humidity_avg_7d,temperature_avg_7d,wind_avg_7d,elevation_mean,elevation_min,elevation_max,slope_mean,distance_to_river_km,population_density,risk_label
LB-BEY-001,Beirut River Area,2025-10-16,33.885,35.53,6.99,6.99,6.99,6.99,78.63,78.63,10.06,2.2,28,4,76,1.8,0.4,22400,Low
LB-BEY-001,Beirut River Area,2025-10-17,33.885,35.53,2.43,9.42,9.42,9.42,72.08,72.08,14.305,3.24,28,4,76,1.8,0.4,22400,Low
LB-BEY-001,Beirut River Area,2025-10-18,33.885,35.53,3.77,13.190000000000001,13.190000000000001,13.190000000000001,70.46666666666665,70.46666666666665,15.21,3.0066666666666664,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-10-19,33.885,35.53,10.33,16.53,23.52,23.52,69.75,71.97,16.302500000000002,3.0925000000000002,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-10-20,33.885,35.53,1.93,16.03,25.45,25.45,71.15666666666667,71.526,16.472,3.2600000000000002,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-10-21,33.885,35.53,1.7,13.96,27.15,27.15,72.91000000000001,71.68833333333333,16.32166666666667,3.16,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-10-22,33.885,35.53,0.64,4.269999999999998,27.79,27.79,70.34333333333333,71.27285714285713,15.978571428571428,3.2414285714285715,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-10-23,33.885,35.53,5.54,7.879999999999998,26.339999999999996,33.33,71.72,70.5942857142857,17.105714285714285,3.4371428571428573,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-10-24,33.885,35.53,6.62,12.799999999999997,30.529999999999998,39.95,71.92,71.67571428571429,16.527142857142856,3.2342857142857144,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-10-25,33.885,35.53,3.86,16.019999999999996,30.619999999999997,43.81,73.88,72.73571428571428,15.64857142857143,3.3242857142857143,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-10-26,33.885,35.53,5.22,15.699999999999998,25.509999999999998,49.03,74.5,72.63,14.975714285714286,3.2800000000000002,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-10-27,33.885,35.53,11.26,20.339999999999996,34.84,60.29,75.42666666666666,73.50571428571428,14.405714285714286,3.29,28,4,76,1.8,0.4,22400,High
LB-BEY-001,Beirut River Area,2025-10-28,33.885,35.53,5.2,21.68,38.339999999999996,65.49,74.93333333333334,73.60285714285715,14.722857142857142,3.3657142857142857,28,4,76,1.8,0.4,22400,High
LB-BEY-001,Beirut River Area,2025-10-29,33.885,35.53,3.71,20.17,41.41,69.2,72.71,73.64428571428572,14.495714285714286,3.402857142857143,28,4,76,1.8,0.4,22400,High
LB-BEY-001,Beirut River Area,2025-10-30,33.885,35.53,0.24,9.149999999999999,36.11,62.449999999999996,70.04333333333334,72.78714285714285,14.49,3.3785714285714286,28,4,76,1.8,0.4,22400,High
LB-BEY-001,Beirut River Area,2025-10-31,33.885,35.53,1.73,5.679999999999998,31.22,61.75,66.39333333333333,71.23428571428572,14.125714285714285,3.327142857142857,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-01,33.885,35.53,4.92,6.889999999999998,32.28,62.9,69.16000000000001,71.62142857142858,14.694285714285714,3.48,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-02,33.885,35.53,0.0,6.649999999999998,27.060000000000002,52.56999999999999,68.00666666666667,70.00428571428571,15.204285714285716,3.2985714285714285,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-03,33.885,35.53,4.59,9.509999999999998,20.39,55.23,69.25,68.58714285714287,15.62857142857143,3.1514285714285712,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-04,33.885,35.53,6.17,10.759999999999998,21.36,59.7,67.74,68.53857142857143,14.922857142857143,3.2214285714285715,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-05,33.885,35.53,4.45,15.209999999999997,22.1,63.51,70.59666666666668,69.09857142857143,16.062857142857144,2.981428571428571,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-06,33.885,35.53,2.69,13.309999999999999,24.55,60.660000000000004,69.86333333333333,68.51,16.05,2.9642857142857144,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-07,33.885,35.53,2.29,9.429999999999998,25.11,56.330000000000005,69.61999999999999,69.92142857142856,17.472857142857144,3.5228571428571427,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-08,33.885,35.53,6.6,11.579999999999998,26.79,59.06999999999999,70.43333333333334,69.64428571428572,17.277142857142856,3.357142857142857,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-09,33.885,35.53,4.63,13.519999999999998,31.419999999999998,58.48,73.32,70.78714285714285,16.84857142857143,3.4557142857142855,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-10,33.885,35.53,0.0,11.229999999999997,26.83,47.22,71.58333333333333,70.92142857142856,17.575714285714287,3.5500000000000003,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-11,33.885,35.53,8.78,13.409999999999997,29.44,50.8,70.88333333333334,70.99142857142859,17.70285714285714,3.8285714285714287,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-12,33.885,35.53,0.54,9.319999999999997,25.53,47.63,70.14333333333333,70.59285714285714,17.24,3.975714285714286,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-13,33.885,35.53,2.19,11.509999999999998,25.03,49.58,70.11333333333333,71.02857142857144,16.442857142857143,3.8242857142857143,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-14,33.885,35.53,8.6,11.329999999999997,31.340000000000003,56.449999999999996,71.16666666666667,71.65428571428572,15.70857142857143,3.595714285714286,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-15,33.885,35.53,5.04,15.829999999999995,29.78,56.57,72.45,71.45714285714286,16.714285714285715,3.681428571428572,28,4,76,1.8,0.4,22400,Medium
LB-BEY-001,Beirut River Area,2025-11-16,33.885,35.53,0.0,13.639999999999997,25.150000000000002,56.57,74.40333333333334,71.49285714285715,16.705714285714286,3.775714285714286,28,4,76,1.8,0.4,22400,Medium
